n,cell,spec,gcomp,ipw,aipw,tmle,tmle (concrete)
250,C1,Q✓ π✓ G✓,-0.0003960730197704951,0.0010685562031464554,0.00183447527696816,0.0021904081819069435,0.004061691200179828
250,C2,Q✓ π✓ G✗,-0.001883273319647026,0.003719107699583935,-0.0028181115951031663,-0.002640133141089437,0.0024067267672989293
250,C3,Q✓ π✗ G✓,-0.0033350062548738973,0.02860145731530553,-0.0031781708858933493,-0.003221836619421654,-0.0008665568226318756
250,C4,Q✓ π✗ G✗,-0.0034636067908375965,0.03320143993830467,-0.005454665379683757,-0.005397625627689777,-0.0003725134049571129
250,C5,Q✗ π✓ G✓,0.04360031012645906,0.003066100151477231,0.0023842346690647635,0.0025945956493764618,0.03556831381544396
250,C6,Q✗ π✓ G✗,0.04177225155670669,0.00690717727119014,0.006365199162535785,0.007366809608241727,0.04007390109893528
250,C7,Q✗ π✗ G✓,0.04096248483549453,0.028431414606813765,0.008888400005813483,0.007538480079172184,0.0291920758490662
250,C8,Q✗ π✗ G✗,0.04301106379810316,0.040167449602887095,0.018301184429573722,0.016137827744579076,0.03440189051440306
500,C1,Q✓ π✓ G✓,0.0008768263269851951,0.001156615489663773,0.0010712875629085873,0.0009924063890031367,0.00033570747694660366
500,C2,Q✓ π✓ G✗,-0.0004720782961198133,0.006033807842700731,-0.00046889249204440576,-7.345065421581947e-05,0.0013910660123465722
500,C3,Q✓ π✗ G✓,-0.0010703158039801935,0.030980026461889493,-0.0007369275895950936,-0.0006680368510536006,0.002870617313582929
500,C4,Q✓ π✗ G✗,-0.0005972489267711255,0.03661295754833279,-0.00030757214811399366,-0.0003289226469702508,0.0020079115029378388
500,C5,Q✗ π✓ G✓,0.04326621381459165,0.0002082648656492029,-0.00010747326288719321,-0.0010271295192508252,0.031770865023562016
500,C6,Q✗ π✓ G✗,0.04338165984083403,0.007321038354070994,0.007218206864861583,0.0069563501692661775,0.03300249214450163
500,C7,Q✗ π✗ G✓,0.043013847334285316,0.03102860025918418,0.009630963400965678,0.007779063490126207,0.029069047203551145
500,C8,Q✗ π✗ G✗,0.04166685076300334,0.03458067137814062,0.013827090299862899,0.011424294244161125,0.032468167721932374
1000,C1,Q✓ π✓ G✓,0.00019021160758026054,0.00046556679243868064,0.0004314190401559686,0.0004824643545816294,0.0031823033801268844
1000,C2,Q✓ π✓ G✗,0.00027790150199233637,0.006119979520900325,0.0004180532499374736,0.00036036570688170456,0.0020210306085480445
1000,C3,Q✓ π✗ G✓,-0.0008488176110026933,0.03139332902669786,-0.000717422102456576,-0.0007025605764711108,0.0009895025237085656
1000,C4,Q✓ π✗ G✗,-0.001572653583810248,0.035336832630802464,-0.0018346682204741435,-0.001827225154225286,-0.0008278270177145955
1000,C5,Q✗ π✓ G✓,0.04389454923697372,0.000681843337238388,0.0006725017954164309,0.00027771329683766395,0.02720386340026248
1000,C6,Q✗ π✓ G✗,0.043845222581191244,0.005428070395372082,0.005531779909485131,0.005669710942635418,0.03256846660986427
1000,C7,Q✗ π✗ G✓,0.043174177585739715,0.03066300912953787,0.00960704418414228,0.007969041197889186,0.028274040155981835
1000,C8,Q✗ π✗ G✗,0.04375072059493231,0.03833937248222411,0.017791892766687672,0.015464632832396831,0.03340047969568443
