cell,arm,n,n_bootstrap,type,event,time,group,cov_all,cov_convfilter,mode2_effect,cov_dropmode1,mode1_effect,cov_strict,both_effect,width_all,width_convfilter
BS12_n250_oracle,oracle,250,100,risk,2,3.11961,1,0.936,0.936,0.0,0.9300411522633745,-0.005958847736625583,0.9300411522633745,-0.005958847736625583,0.15041775700536883,0.15041775700536883
BS12_n250_oracle,oracle,250,100,risk,2,8.608445,0,0.924,0.924,0.0,0.9218106995884774,-0.0021893004115226544,0.9218106995884774,-0.0021893004115226544,0.1757442528281975,0.17574640529029414
BS12_n250_oracle,oracle,250,100,risk,2,8.608445,1,0.924,0.924,0.0,0.9259259259259259,0.0019259259259258865,0.9259259259259259,0.0019259259259258865,0.18920437448489408,0.189199974669953
BS12_n250_oracle,oracle,250,100,rr,1,0.477676,-1,0.936,0.9471544715447154,0.011154471544715383,0.9465020576131687,0.010502057613168692,0.9465020576131687,0.010502057613168692,4.959701026656926,2.3610229486696452
BS12_n250_oracle,oracle,250,100,rr,1,3.11961,-1,0.92,0.92,0.0,0.9300411522633745,0.010041152263374431,0.9300411522633745,0.010041152263374431,0.6729435036862849,0.6729528956081152
BS12_n250_oracle,oracle,250,100,rr,1,8.608445,-1,0.944,0.944,0.0,0.9506172839506173,0.006617283950617336,0.9506172839506173,0.006617283950617336,0.46079699284335573,0.4608115022791837
BS12_n250_oracle,oracle,250,100,rr,2,0.477676,-1,0.936,0.9473684210526315,0.011368421052631472,0.9506172839506173,0.014617283950617233,0.9506172839506173,0.014617283950617233,13.694041552597026,4.599514051419769
BS12_n250_oracle,oracle,250,100,rr,2,3.11961,-1,0.956,0.956,0.0,0.9588477366255144,0.0028477366255144076,0.9588477366255144,0.0028477366255144076,1.4949093184405102,1.4949198749262191
BS12_n250_oracle,oracle,250,100,rr,2,8.608445,-1,0.936,0.936,0.0,0.934156378600823,-0.0018436213991770423,0.934156378600823,-0.0018436213991770423,1.0185413007779047,1.018416695080826
B_BASEb500_n250_oracle,oracle,250,500,rd,1,0.477676,-1,0.91,0.9278350515463918,0.017835051546391756,0.9278350515463918,0.017835051546391756,0.9278350515463918,0.017835051546391756,0.09750707211410754,0.09647225691260469
B_BASEb500_n250_oracle,oracle,250,500,rd,1,3.11961,-1,0.91,0.91,0.0,0.9278350515463918,0.017835051546391756,0.9278350515463918,0.017835051546391756,0.2102604017988355,0.2102640125993503
B_BASEb500_n250_oracle,oracle,250,500,rd,1,8.608445,-1,0.97,0.97,0.0,0.9690721649484536,-0.0009278350515463663,0.9690721649484536,-0.0009278350515463663,0.2613317523803854,0.26135423900144683
B_BASEb500_n250_oracle,oracle,250,500,rd,2,0.477676,-1,0.97,0.97,0.0,0.9690721649484536,-0.0009278350515463663,0.9690721649484536,-0.0009278350515463663,0.09716245618235449,0.09524117105457844
B_BASEb500_n250_oracle,oracle,250,500,rd,2,3.11961,-1,0.97,0.97,0.0,0.9690721649484536,-0.0009278350515463663,0.9690721649484536,-0.0009278350515463663,0.20954741637694888,0.20955431073285305
B_BASEb500_n250_oracle,oracle,250,500,rd,2,8.608445,-1,0.94,0.94,0.0,0.9484536082474226,0.008453608247422695,0.9484536082474226,0.008453608247422695,0.2646255415686851,0.2646068659228533
B_BASEb500_n250_oracle,oracle,250,500,risk,1,0.477676,0,0.93,0.9393939393939394,0.009393939393939399,0.9381443298969072,0.008144329896907165,0.9381443298969072,0.008144329896907165,0.07963501541497964,0.07906790870333037
B_BASEb500_n250_oracle,oracle,250,500,risk,1,0.477676,1,0.93,0.9489795918367347,0.0189795918367347,0.9484536082474226,0.018453608247422593,0.9484536082474226,0.018453608247422593,0.050952136802201856,0.04891988786692515
B_BASEb500_n250_oracle,oracle,250,500,risk,1,3.11961,0,0.87,0.87,0.0,0.8762886597938144,0.006288659793814433,0.8762886597938144,0.006288659793814433,0.16672045734503482,0.16672315018925588
B_BASEb500_n250_oracle,oracle,250,500,risk,1,3.11961,1,0.98,0.98,0.0,0.979381443298969,-0.0006185567010309478,0.979381443298969,-0.0006185567010309478,0.12861448881947887,0.12861646928042167
B_BASEb500_n250_oracle,oracle,250,500,risk,1,8.608445,0,0.94,0.94,0.0,0.9381443298969072,-0.0018556701030927325,0.9381443298969072,-0.0018556701030927325,0.1989810023932201,0.1989814128615973
B_BASEb500_n250_oracle,oracle,250,500,risk,1,8.608445,1,0.92,0.92,0.0,0.9381443298969072,0.018144329896907174,0.9381443298969072,0.018144329896907174,0.17296018861653792,0.1729698318707457
B_BASEb500_n250_oracle,oracle,250,500,risk,2,0.477676,0,0.96,0.96,0.0,0.9587628865979382,-0.0012371134020617847,0.9587628865979382,-0.0012371134020617847,0.06467550220384834,0.06225276143418058
B_BASEb500_n250_oracle,oracle,250,500,risk,2,0.477676,1,0.93,0.94,0.009999999999999898,0.9381443298969072,0.008144329896907165,0.9381443298969072,0.008144329896907165,0.06885802493055905,0.06740391926277639
B_BASEb500_n250_oracle,oracle,250,500,risk,2,3.11961,0,0.96,0.96,0.0,0.9587628865979382,-0.0012371134020617847,0.9587628865979382,-0.0012371134020617847,0.14092942251690943,0.1409078654162717
B_BASEb500_n250_oracle,oracle,250,500,risk,2,3.11961,1,0.92,0.92,0.0,0.9278350515463918,0.007835051546391747,0.9278350515463918,0.007835051546391747,0.15592389910589996,0.15592441104192117
