axis,arm,n,type,event,time,levels_tested,min_coverage,breakpoint_level,coverage_at_break,se_ratio_at_break,std_bias_at_break
base,oracle,1000,rr,1,3.11961,1,0.945,,,,
base,correct,2000,rr,1,3.11961,1,0.946,,,,
base,oracle,2000,rr,1,3.11961,1,0.942,,,,
base,correct,250,rr,1,8.608445,1,0.937,,,,
base,oracle,250,rr,1,8.608445,1,0.939,,,,
base,correct,500,rr,1,8.608445,1,0.943,,,,
base,oracle,500,rr,1,8.608445,1,0.943,,,,
base,correct,1000,rr,1,8.608445,1,0.949,,,,
base,oracle,1000,rr,1,8.608445,1,0.944,,,,
base,correct,2000,rr,1,8.608445,1,0.962,,,,
base,oracle,2000,rr,1,8.608445,1,0.96,,,,
base,correct,250,rr,2,0.477676,1,0.903,,,,
base,oracle,250,rr,2,0.477676,1,0.899,base,0.899,0.36730025488355794,0.19440458695667423
base,correct,500,rr,2,0.477676,1,0.923,,,,
base,oracle,500,rr,2,0.477676,1,0.924,,,,
base,correct,1000,rr,2,0.477676,1,0.951,,,,
base,oracle,1000,rr,2,0.477676,1,0.949,,,,
base,correct,2000,rr,2,0.477676,1,0.95,,,,
base,oracle,2000,rr,2,0.477676,1,0.942,,,,
base,correct,250,rr,2,3.11961,1,0.943,,,,
base,oracle,250,rr,2,3.11961,1,0.944,,,,
base,correct,500,rr,2,3.11961,1,0.943,,,,
base,oracle,500,rr,2,3.11961,1,0.941,,,,
base,correct,1000,rr,2,3.11961,1,0.943,,,,
base,oracle,1000,rr,2,3.11961,1,0.94,,,,
base,correct,2000,rr,2,3.11961,1,0.968,,,,
base,oracle,2000,rr,2,3.11961,1,0.97,,,,
base,correct,250,rr,2,8.608445,1,0.949,,,,
base,oracle,250,rr,2,8.608445,1,0.951,,,,
base,correct,500,rr,2,8.608445,1,0.943,,,,
base,oracle,500,rr,2,8.608445,1,0.941,,,,
base,correct,1000,rr,2,8.608445,1,0.931,,,,
base,oracle,1000,rr,2,8.608445,1,0.935,,,,
base,correct,2000,rr,2,8.608445,1,0.936,,,,
base,oracle,2000,rr,2,8.608445,1,0.938,,,,
censoring,correct,250,rd,1,0.477676,5,0.945,,,,
censoring,oracle,250,rd,1,0.477676,2,0.987,,,,
censoring,correct,500,rd,1,0.477676,5,0.96,,,,
censoring,correct,250,rd,1,3.11961,5,0.939,,,,
censoring,oracle,250,rd,1,3.11961,2,0.971,,,,
censoring,correct,500,rd,1,3.11961,5,0.924,,,,
censoring,correct,250,rd,1,8.608445,5,0.895,CN4,0.895,0.85184320234545,0.01095557879500788
censoring,oracle,250,rd,1,8.608445,2,0.921,,,,
censoring,correct,500,rd,1,8.608445,5,0.854,CN3,0.874,0.8135120459446109,0.052723043048254564
censoring,correct,250,rd,2,0.477676,5,0.955,,,,
censoring,oracle,250,rd,2,0.477676,2,0.992,,,,
censoring,correct,500,rd,2,0.477676,5,0.946,,,,
censoring,correct,250,rd,2,3.11961,5,0.942,,,,
censoring,oracle,250,rd,2,3.11961,2,0.984,,,,
censoring,correct,500,rd,2,3.11961,5,0.932,,,,
censoring,correct,250,rd,2,8.608445,5,0.891,CN3,0.891,0.8339805482276633,0.0007871098382372316
censoring,oracle,250,rd,2,8.608445,2,0.928,,,,
censoring,correct,500,rd,2,8.608445,5,0.84,CN3,0.888,0.8076602935179691,-0.026058816744189483
censoring,correct,250,risk,1,0.477676,5,0.88,CN0,0.898,0.9901477603611157,-0.013341725392791243
censoring,oracle,250,risk,1,0.477676,2,0.956,,,,
censoring,correct,500,risk,1,0.477676,5,0.916,,,,
censoring,correct,250,risk,1,3.11961,5,0.917,,,,
censoring,oracle,250,risk,1,3.11961,2,0.965,,,,
censoring,correct,500,risk,1,3.11961,5,0.89,CN4,0.89,0.8646870756453464,-0.01702842806118229
censoring,correct,250,risk,1,8.608445,5,0.851,CN3,0.857,0.7610373237040774,0.07425605442921762
censoring,oracle,250,risk,1,8.608445,2,0.862,CN4,0.862,0.7999518554168549,0.05807046030156635
censoring,correct,500,risk,1,8.608445,5,0.808,CN3,0.876,0.7676606533594749,0.1375800174508633
censoring,correct,250,risk,2,0.477676,5,0.901,,,,
censoring,oracle,250,risk,2,0.477676,2,0.965,,,,
censoring,correct,500,risk,2,0.477676,5,0.916,,,,
censoring,correct,250,risk,2,3.11961,5,0.92,,,,
censoring,oracle,250,risk,2,3.11961,2,0.962,,,,
censoring,correct,500,risk,2,3.11961,5,0.918,,,,
censoring,correct,250,risk,2,8.608445,5,0.862,CN3,0.867,0.7721106525053143,0.04420658388340361
censoring,oracle,250,risk,2,8.608445,2,0.883,CN4,0.883,0.8289756509793424,0.017306429385713952
censoring,correct,500,risk,2,8.608445,5,0.81,CN3,0.846,0.7271922281172061,-0.03389312871542159
censoring,correct,250,rr,1,0.477676,5,0.882,CN0,0.885,0.5910415024063176,0.16159184441408198
censoring,oracle,250,rr,1,0.477676,2,0.963,,,,
censoring,correct,500,rr,1,0.477676,5,0.9,,,,
censoring,correct,250,rr,1,3.11961,5,0.934,,,,
censoring,oracle,250,rr,1,3.11961,2,0.946,,,,
censoring,correct,500,rr,1,3.11961,5,0.904,,,,
censoring,correct,250,rr,1,8.608445,5,0.887,CN3,0.896,0.8080109632210393,0.1270894694927009
censoring,oracle,250,rr,1,8.608445,2,0.91,,,,
censoring,correct,500,rr,1,8.608445,5,0.828,CN3,0.87,0.7740242578894786,0.12388108363240159
censoring,correct,250,rr,2,0.477676,5,0.89,CN1,0.89,0.4728018727594274,0.1895739474089444
censoring,oracle,250,rr,2,0.477676,2,0.969,,,,
censoring,correct,500,rr,2,0.477676,5,0.916,,,,
censoring,correct,250,rr,2,3.11961,5,0.934,,,,
censoring,oracle,250,rr,2,3.11961,2,0.964,,,,
censoring,correct,500,rr,2,3.11961,5,0.94,,,,
censoring,correct,250,rr,2,8.608445,5,0.902,,,,
censoring,oracle,250,rr,2,8.608445,2,0.923,,,,
censoring,correct,500,rr,2,8.608445,5,0.846,CN4,0.846,0.763077402253948,0.13460593636262708
max_updates,correct,250,rd,1,0.477676,1,0.47047047047047047,RA3@1000,0.47047047047047047,0.6601291943942496,0.09888538514110932
max_updates,correct,250,rd,1,3.11961,1,0.8948948948948949,RA3@1000,0.8948948948948949,0.9635073373774433,-0.026723916676144217
max_updates,correct,250,rd,1,8.608445,1,0.928928928928929,,,,
max_updates,correct,250,rd,2,0.477676,1,0.94994994994995,,,,
max_updates,correct,250,rd,2,3.11961,1,0.9369369369369369,,,,
max_updates,correct,250,rd,2,8.608445,1,0.9469469469469469,,,,
max_updates,correct,250,risk,1,0.477676,1,0.2502502502502503,RA3@1000,0.2982982982982983,0.5088463818792449,-0.07698427529194217
max_updates,correct,250,risk,1,3.11961,1,0.7417417417417418,RA3@1000,0.8568568568568569,0.8896878780047122,0.030015369542893987
max_updates,correct,250,risk,1,8.608445,1,0.8568568568568569,RA3@1000,0.8868868868868869,0.9307209058100717,0.09108920580660632
max_updates,correct,250,risk,2,0.477676,1,0.8988988988988988,RA3@1000,0.8988988988988988,0.9714906248974924,-0.022061736045213522
max_updates,correct,250,risk,2,3.11961,1,0.923923923923924,,,,
max_updates,correct,250,risk,2,8.608445,1,0.9469469469469469,,,,
max_updates,correct,250,rr,1,0.477676,1,0.5319148936170213,RA3@1000,0.5319148936170213,0.06836665128035374,0.06856228247782867
max_updates,correct,250,rr,1,3.11961,1,0.7340862422997947,RA3@1000,0.7340862422997947,0.04061488264668071,0.05984929292853737
