axis,arm,n,type,event,time,levels_tested,min_coverage,breakpoint_level,coverage_at_break,se_ratio_at_break,std_bias_at_break
rare,oracle,250,rr,1,8.608445,1,0.837,RA3,0.837,0.2018552170746751,0.14041664593152572
rare,correct,500,rr,1,8.608445,3,0.888,RA3,0.888,0.9433059845167959,0.17770706330072417
rare,correct,250,rr,2,0.477676,3,0.8788788788788788,RA1,0.888,0.3586161211915908,0.1785704833898355
rare,oracle,250,rr,2,0.477676,1,0.881,RA3,0.881,0.31972303131007174,0.15971017695930997
rare,correct,500,rr,2,0.477676,3,0.912,,,,
rare,correct,250,rr,2,3.11961,3,0.924924924924925,,,,
rare,oracle,250,rr,2,3.11961,1,0.919,,,,
rare,correct,500,rr,2,3.11961,3,0.928,,,,
rare,correct,250,rr,2,8.608445,3,0.937,,,,
rare,oracle,250,rr,2,8.608445,1,0.938,,,,
rare,correct,500,rr,2,8.608445,3,0.938,,,,
