n,source,event,time,rows,median_ratio,q95_ratio,frac_solved,mean_abs_pn_eic,mean_se_eic,median_score_reduction
500,concrete,1.0,1.605387,1000,0.33734306703715405,0.9753982577138018,1.0,0.001341720236280493,0.4763425639335398,7.764671128422724
500,concrete,1.0,3.11961,1000,0.3260032232663558,0.9284826726671582,1.0,0.0015684218056235964,0.6020684629331454,7.764671128422724
500,concrete,1.0,5.420902,1000,0.1745098324618521,0.6550349251873968,1.0,0.0011336323289771369,0.6957418581337632,7.764671128422724
500,concrete,2.0,1.605387,1000,0.3504280221498248,0.9384186576619122,1.0,0.001351410228500941,0.48003282244478906,7.764671128422724
500,concrete,2.0,3.11961,1000,0.29912071683610153,0.8907943388027497,1.0,0.0015500872408736603,0.6083404153734774,7.764671128422724
500,concrete,2.0,5.420902,1000,0.14279460528404314,0.6488114869411752,1.0,0.0010548475584236452,0.7051329203569625,7.764671128422724
500,pytmle,1.0,1.605387,1000,0.3371487501263678,0.9765214416607162,1.0,0.0013452691774342416,0.4761799745146356,7.739125954958412
500,pytmle,1.0,3.11961,1000,0.3274489191394271,0.9273512059193556,1.0,0.0015727618049052822,0.6017094945946457,7.739125954958412
500,pytmle,1.0,5.420902,1000,0.17963478569561345,0.6494040541589577,1.0,0.001140107372472608,0.695022524596518,7.739125954958412
500,pytmle,2.0,1.605387,1000,0.34951862713301907,0.9356068502761041,1.0,0.0013518286942794644,0.4798973877180184,7.739125954958412
500,pytmle,2.0,3.11961,1000,0.2987541070148302,0.8925009638784076,1.0,0.0015501782551820703,0.6080587392427065,7.739125954958412
500,pytmle,2.0,5.420902,1000,0.14223502359864948,0.6513001112256439,1.0,0.0010563392719853564,0.7045369440485423,7.739125954958412
1000,concrete,1.0,1.605387,1000,0.3461165375993879,0.9685163565879501,1.0,0.0008747221622216809,0.477435696011622,8.36010678200031
1000,concrete,1.0,3.11961,1000,0.3155170687236733,0.9405092826742529,1.0,0.0010023001298152332,0.6021615571343106,8.36010678200031
1000,concrete,1.0,5.420902,1000,0.18330333754132924,0.6336387858334546,1.0,0.0007185485175916724,0.6956955936621692,8.36010678200031
1000,concrete,2.0,1.605387,1000,0.35164455005249395,0.9324116043108752,1.0,0.0008730477058138944,0.4818394355939062,8.36010678200031
1000,concrete,2.0,3.11961,1000,0.3057814565884954,0.8847002558191213,1.0,0.0010080083882273846,0.6093480714883216,8.36010678200031
1000,concrete,2.0,5.420902,1000,0.14868693880824396,0.6483824337448368,1.0,0.000667403172755677,0.7059394396373949,8.36010678200031
1000,pytmle,1.0,1.605387,1000,0.34558854312646003,0.97010407771754,1.0,0.000875535301999599,0.47735000823134727,8.40920840250412
1000,pytmle,1.0,3.11961,1000,0.3155820701237604,0.941078092197059,1.0,0.0010020104788522168,0.6019830386107956,8.40920840250412
1000,pytmle,1.0,5.420902,1000,0.1835787406965503,0.6308803808005019,1.0,0.0007181389005982286,0.6953377005539798,8.40920840250412
1000,pytmle,2.0,1.605387,1000,0.35145585757354403,0.9312930154134791,1.0,0.0008725890985060892,0.48177495454431446,8.40920840250412
1000,pytmle,2.0,3.11961,1000,0.3052620167702539,0.8844015555405991,1.0,0.0010068899922736456,0.6092080544296419,8.40920840250412
1000,pytmle,2.0,5.420902,1000,0.14859405204240567,0.6485729270290785,1.0,0.0006667459021558739,0.7056429149468268,8.40920840250412
2000,concrete,1.0,1.605387,300,0.35088389083256877,0.9701098641808436,1.0,0.0005721185665558563,0.4779149363591646,8.986154063165571
2000,concrete,1.0,3.11961,300,0.3000417176125949,0.9109661314455426,1.0,0.0006393965786390521,0.6009800201372233,8.986154063165571
2000,concrete,1.0,5.420902,300,0.1760082254522432,0.6206343036154656,1.0,0.0004631995616669359,0.6953203626426017,8.986154063165571
2000,concrete,2.0,1.605387,300,0.37714696643957274,0.9297405258457717,1.0,0.0005821579014009011,0.4832032455415748,8.986154063165571
2000,concrete,2.0,3.11961,300,0.3392034727230248,0.902833440991174,1.0,0.0007043050498240809,0.6098283819439091,8.986154063165571
2000,concrete,2.0,5.420902,300,0.1369871112680055,0.580775503383856,1.0,0.00040295121644622577,0.706779256952698,8.986154063165571
2000,pytmle,1.0,1.605387,300,0.3489560378111636,0.9698822232700517,1.0,0.000571881046521555,0.4778798268996846,8.987438690031244
2000,pytmle,1.0,3.11961,300,0.3080271199740548,0.9106630820548463,1.0,0.0006396397012498441,0.6009115055120866,8.987438690031244
2000,pytmle,1.0,5.420902,300,0.17608849532734822,0.6203905789727616,1.0,0.0004645993912783889,0.6951531785389955,8.987438690031244
2000,pytmle,2.0,1.605387,300,0.37363272548533566,0.9298831683757253,1.0,0.0005817059039230254,0.48317494091058516,8.987438690031244
2000,pytmle,2.0,3.11961,300,0.3390761650482299,0.9008510868780201,1.0,0.0007036862966340809,0.6097550410149309,8.987438690031244
2000,pytmle,2.0,5.420902,300,0.13495492517371313,0.5996064717975258,1.0,0.00040193211129184973,0.7066315356551696,8.987438690031244
