n,implementation,median_n_times,n_runs,mean_s,sd_s,median_s,q05_s,q95_s,min_s,max_s,total_s,median_steps,median_s_per_step,median_ns_per_step_cell
500,concrete,352.0,30.0,0.6599411567052206,0.24589828608941294,0.6242642402648926,0.38023067712783815,1.067012953758239,0.32715368270874023,1.4895734786987305,19.798234701156616,12.5,0.0527204814411345,300.5278120149603
500,pytmle,352.0,30.0,2.058401049738556,0.7125226690376709,2.0378585175203625,1.1364956992911175,3.3630036384623945,1.1126001840166282,3.787221220001811,61.752031492156675,11.5,0.17774239890031124,1025.9644200636635
1000,concrete,706.0,30.0,2.343195343017578,0.6886394427389676,2.278329372406006,1.3747285604476929,3.7782526969909647,1.2746412754058838,4.153808116912842,70.29586029052734,12.5,0.18632652576153097,264.54687092442236
1000,pytmle,706.0,30.0,8.231304151697744,2.4583502185866615,7.935917590002646,4.610576506482903,12.857532197632823,4.448584808997111,15.248934689007001,246.93912455093232,11.5,0.7164541007909672,1011.4939797745382
2000,concrete,1412.5,30.0,9.371881596247356,2.377617257981977,8.63895308971405,6.846439695358276,14.172299969196315,6.200766563415527,15.159120082855225,281.15644788742065,13.0,0.6737821358900804,239.09932517695933
2000,pytmle,1412.5,30.0,41.31193243410283,11.075999531171465,37.77809787100705,30.78231928608875,64.11830326116322,26.935216357000172,67.32184290399891,1239.357973023085,12.0,3.1556399114273876,1112.8719175993779
